Macrotrends Data Download

Canada GDP 1960-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,40.461721692647,2259.2505
1961-12-31,40.934952063947,2240.433,3.1633
1962-12-31,42.227447631916,2268.5853,7.4254
1963-12-31,45.029988561212,2374.4984,5.3495
1964-12-31,49.377522896703,2555.1111,6.6429
1965-12-31,54.515179580715,2770.3618,6.3167
1966-12-31,61.088384036651,3047.1061,6.705
1967-12-31,65.668655501125,3217.1593,3.0912
1968-12-31,71.829810519895,3462.6789,4.9957
1969-12-31,79.14841166169,3763.9534,5.0455
1970-12-31,87.896095320126,4121.9328
1971-12-31,99.271961774609,4520.1629
1972-12-31,113.08282048692,5089.5879
1973-12-31,131.32185881412,5838.6609
1974-12-31,160.40869734151,7033.011
1975-12-31,173.83402968934,7511.2113
1976-12-31,206.57556490872,8809.2647
1977-12-31,211.61215702868,8919.0575
1978-12-31,218.63286753748,9123.6913
1979-12-31,243.07210261226,10043.661
1980-12-31,273.85382654807,11170.564
1981-12-31,306.21486362499,12337.4662
1982-12-31,313.50652508714,12481.8748
1983-12-31,340.54771178189,13425.1225
1984-12-31,355.37255810362,13877.9171
1985-12-31,364.75649945075,14114.8078
1986-12-31,377.43792731198,14461.0692
1987-12-31,431.31674208145,16308.967
1988-12-31,507.35435118225,18936.9641
1989-12-31,565.05574324324,20715.6315
1990-12-31,593.92955090847,21448.362
1991-12-31,610.32818364319,21768.3433
1992-12-31,592.38768925292,20879.8483
1993-12-31,577.17076195644,20121.1613
1994-12-31,578.13927943761,19935.3815
1995-12-31,604.0316234334,20613.7879
1996-12-31,628.54638797213,21227.3475
1997-12-31,654.98699985555,21901.5629
1998-12-31,634,21024.5851,3.8962
1999-12-31,678.41219627112,22315.2467,5.1629
2000-12-31,744.77341593159,24271.0021,5.1776
2001-12-31,738.98179235537,23822.0601,1.79
2002-12-31,760.64933409801,24255.3386,3.0181
2003-12-31,895.54064663479,28300.4631,1.8015
2004-12-31,1026.6902382783,32143.6814,3.087
2005-12-31,1173.1085987787,36382.5079,3.2042
2006-12-31,1319.264809591,40504.0607,2.6343
2007-12-31,1468.8204077833,44659.8951,2.0694
2008-12-31,1552.9896907216,46710.5056,1.0076
2009-12-31,1374.6251421573,40876.3102,-2.9284
2010-12-31,1617.3433674863,47562.0834,3.0895
2011-12-31,1793.3266301745,52223.6961,3.1469
2012-12-31,1828.3664815216,52669.09,1.7622
2013-12-31,1846.597421835,52635.175,2.3291
2014-12-31,1805.7498784399,50955.9983,2.87
2015-12-31,1556.5088162171,43596.1355,0.6592
2016-12-31,1527.9947419074,42315.6037,1.0014
2017-12-31,1649.2656442441,45129.4293,3.0399
2018-12-31,1725.329192783,46548.6384,2.777
2019-12-31,1742.0150454823,46328.6718,1.8796
2020-12-31,1645.4234075684,43258.2639,-5.233
2021-12-31,1988.3363317174,51987.9391,4.5409
